param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,F,minor_donor,5,0,5,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,G,major_donor,4,0,4,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,F,hybrid_taxon,1,1,2,50.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,B,hybrid_taxon,2,0,2,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,C,hybrid_taxon,2,0,2,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,E,minor_donor,1,1,2,50.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,B,major_donor,91,0,91,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,C,major_donor,91,0,91,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,D,hybrid_taxon,89,0,89,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,H,minor_donor,89,0,89,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,E,hybrid_taxon,86,0,86,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,G,hybrid_taxon,11,0,11,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,E,major_donor,8,0,8,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,H,major_donor,6,0,6,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,G,minor_donor,6,0,6,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,H,hybrid_taxon,5,0,5,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,D,major_donor,5,0,5,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,F,major_donor,5,0,5,100.0
findgraph-DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,F,minor_donor,5,0,5,100.0
