param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,D,major_donor,32,9,41,78.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,E,major_donor,31,9,40,77.5
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,G,minor_donor,25,13,38,65.8
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,D,minor_donor,24,10,34,70.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,B,minor_donor,23,11,34,67.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,E,minor_donor,23,10,33,69.7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,B,hybrid_taxon,32,0,32,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,C,minor_donor,20,11,31,64.5
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,C,hybrid_taxon,27,0,27,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,E,hybrid_taxon,25,0,25,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,D,hybrid_taxon,24,0,24,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,F,hybrid_taxon,2,20,22,9.1
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,F,major_donor,22,0,22,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,F,minor_donor,19,0,19,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,H,major_donor,10,7,17,58.8
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,G,major_donor,9,7,16,56.2
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,G,hybrid_taxon,8,0,8,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,H,hybrid_taxon,7,0,7,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000-summary,A,hybrid_taxon,5,0,5,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,B,major_donor,47,11,58,81.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,C,major_donor,44,11,55,80.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,D,major_donor,45,7,52,86.5
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,E,major_donor,41,7,48,85.4
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,D,minor_donor,29,9,38,76.3
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,E,minor_donor,26,9,35,74.3
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,G,minor_donor,21,14,35,60.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,H,minor_donor,21,14,35,60.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,F,hybrid_taxon,15,17,32,46.9
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,E,hybrid_taxon,29,0,29,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,B,minor_donor,21,8,29,72.4
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,C,minor_donor,20,8,28,71.4
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,D,hybrid_taxon,25,0,25,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,C,hybrid_taxon,21,0,21,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,F,major_donor,21,0,21,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,F,minor_donor,19,0,19,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,B,hybrid_taxon,18,0,18,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,G,hybrid_taxon,14,0,14,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,H,hybrid_taxon,14,0,14,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,G,major_donor,6,3,9,66.7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,H,major_donor,6,3,9,66.7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000-summary,A,hybrid_taxon,6,0,6,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,H,minor_donor,41,12,53,77.4
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,G,minor_donor,40,12,52,76.9
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,B,major_donor,38,8,46,82.6
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,C,major_donor,34,8,42,81.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,D,major_donor,30,10,40,75.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,E,major_donor,29,10,39,74.4
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,D,minor_donor,22,12,34,64.7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,E,minor_donor,20,12,32,62.5
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,C,hybrid_taxon,30,0,30,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,E,hybrid_taxon,28,0,28,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,D,hybrid_taxon,27,0,27,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,B,hybrid_taxon,26,0,26,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,C,minor_donor,18,8,26,69.2
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,B,minor_donor,16,8,24,66.7
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,F,hybrid_taxon,1,20,21,4.8
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,F,minor_donor,18,0,18,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,F,major_donor,14,0,14,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,H,major_donor,3,8,11,27.3
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,G,hybrid_taxon,10,0,10,100.0
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,G,major_donor,1,8,9,11.1
SNaQ-DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000-summary,H,hybrid_taxon,8,0,8,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,D,major_donor,41,5,46,89.1
